code,full_name,birth_day,sex,Kinh,province_id,qt,lcn,branch_code,rating_id,dsa,dsa,address,phone_number,email_address,graduted,course_code
A21515,Đặng Thị Hương,2018-01-30,0,Kinh,1,Việt Nam,NE25a3,TI,3,TA1186,229491,address,1234678645,email45,1,K1
A21627,Đặng Thị Thu Hằng,2018-01-02,0,Kinh,1,Việt Nam,QF25d1,TI,3,QL12266,1415794,address,1234678645,email46,1,K1
A21644,Trần Anh Dũng,2018-08-25,1,Kinh,1,Việt Nam,QE25g3,TI,4,QL12303,1415795,address,1234678645,email47,1,K1
A21681,Trần Hồng Minh,2018-12-03,0,Kinh,1,Việt Nam,NJ25c1,TI,4,TN0352,229492,address,1234678645,email48,1,K1
A21692,Hà Thanh Trung,2018-11-26,1,Kinh,35,Việt Nam,QB25e1,TI,4,QL12304,1415796,address,1234678645,email49,1,K1
A21754,Bùi Thị Thu Hằng,2018-02-13,0,Kinh,36,Việt Nam,QA25g6,TI,4,QL12314,1415797,address,1234678645,email50,1,K1
A21771,Nguyễn Thị Thùy Dương,2018-04-25,0,Kinh,1,Việt Nam,NJ25g2,TI,4,TN0355,229493,address,1234678645,email51,1,K1
A21796,Nguyễn Thành Long,2018-02-05,1,Kinh,1,Việt Nam,TC25b1,TI,3,TT1325,1415798,address,1234678645,email52,1,K1
A21816,Nguyễn Minh Ngọc,2018-04-28,0,Kinh,1,Việt Nam,XV25e1,TI,3,XV0127,1415799,address,1234678645,email53,1,K1
A21848,Trần Thế Chung,2018-12-05,1,Kinh,1,Việt Nam,QM25a1,TI,3,QL12257,1415800,address,1234678645,email54,1,K1
A21876,Lưu Văn Linh,2018-10-04,1,Kinh,36,Việt Nam,QF25g5,TI,4,QL12291,1415601,address,1234678645,email55,1,K1
A21943,Nguyễn Thu Trang,2018-09-26,0,Kinh,1,Việt Nam,QM25g1,TI,3,QL12267,1415602,address,1234678645,email56,1,K1
A21966,Phạm Tuấn Anh,2018-06-16,1,Kinh,34,Việt Nam,QF25g6,TI,4,QL12317,1415603,address,1234678645,email57,1,K1
A21975,Nguyễn Thiên Thanh,2018-10-13,0,Kinh,1,Việt Nam,QF25c3,TI,3,QL12233,1415604,address,1234678645,email58,1,K1
A22083,Mai Xuân Anh,2018-09-12,1,Kinh,46,Việt Nam,QA25d1,TI,4,QL12292,1415605,address,1234678645,email59,1,K1
A22109,Nguyễn Thị Hoa Trà,2018-02-04,0,Kinh,1,Việt Nam,QF25g5,TI,4,QL12276,1415606,address,1234678645,email60,1,K1
A22239,Nguyễn Hải Phượng,2018-11-22,0,Kinh,22,Việt Nam,XW25g1,TI,2,CX0248,1415607,address,1234678645,email61,1,K1
A22296,Dương Trung Kiên,2018-05-15,1,Kinh,38,Việt Nam,QF26g1,TI,4,QL12309,1415608,address,1234678645,email62,1,K1
A22299,Nguyễn Đức Bình,2018-12-18,1,Kinh,1,Việt Nam,QA26d1,TI,3,QL12258,1415609,address,1234678645,email63,1,K1
A22302,Đặng Vân Anh,2018-03-08,0,Kinh,19,Việt Nam,XV26a1,TI,3,XV0126,1415610,address,1234678645,email64,1,K1
A22326,Đào Bích Thủy,2018-02-15,0,Kinh,79,Việt Nam,QE26d1,TI,4,QL12281,1415611,address,1234678645,email65,1,K1
A22374,Ngô Phúc Thành,2018-02-13,1,Kinh,1,Việt Nam,QF26d1,TI,3,QL12241,1415612,address,1234678645,email66,1,K1
A22380,Nguyễn Đức Tú,2018-01-13,1,Kinh,1,Việt Nam,QA26d1,TI,4,QL12282,1415613,address,1234678645,email67,1,K1
A22428,Nguyễn Thanh Hải,2018-05-10,1,Kinh,1,Việt Nam,NE26a1,TI,4,TA1195,229494,address,1234678645,email68,1,K1
A22472,Phạm Thu Trang,2018-09-09,0,Kinh,1,Việt Nam,NE26a1,TI,3,TA1187,229495,address,1234678645,email69,1,K1
A22477,Nguyễn Anh Quân,2018-08-13,1,Kinh,1,Việt Nam,QM26d1,TI,3,QL12236,1415614,address,1234678645,email70,1,K1
A22483,Nguyễn Công Quyền,2018-02-05,1,Kinh,36,Việt Nam,QA26g1,TI,4,QL12310,1415615,address,1234678645,email71,1,K1
A22523,Nguyễn Minh Đức,2018-05-15,1,Kinh,1,Việt Nam,NE26a1,TI,1,TA1174,229496,address,1234678645,email72,1,K1
A22531,Nguyễn Thị Hồng Hoa,2018-11-27,0,Kinh,26,Việt Nam,SP26d1,TI,3,SP0158,1415616,address,1234678645,email73,1,K1
A22562,Nguyễn Thị Hà Thu,2018-10-27,0,Kinh,1,Việt Nam,NJ26d1,TI,4,TN0353,229497,address,1234678645,email74,1,K1
A22588,Nguyễn Ngọc Mai,2018-01-03,0,Kinh,1,Việt Nam,NJ26b1,TI,3,TN0349,229498,address,1234678645,email75,1,K1
A22589,Phạm Linh Chi,2018-01-01,0,Kinh,1,Việt Nam,QF26d1,TI,4,QL12296,1415617,address,1234678645,email76,1,K1
A22599,Nguyễn Ngọc Thúy,2018-09-21,0,Kinh,25,Việt Nam,NE26a1,TI,4,TA1196,229499,address,1234678645,email77,1,K1
A22614,Lương Phương Thảo,2018-07-21,0,Kinh,22,Việt Nam,QF26b1,TI,3,QL12259,1415618,address,1234678645,email78,1,K1
A22634,Nguyễn Ngọc Phương Thảo,2018-12-17,0,Kinh,1,Việt Nam,NE26a2,TI,2,TA1175,229500,address,1234678645,email79,1,K1
A22663,Ngô Thái Hà,2018-05-15,0,Kinh,1,Việt Nam,NE26a2,TI,3,TA1183,229501,address,1234678645,email80,1,K1
A22674,Nguyễn Thị Thanh Thúy,2018-07-19,0,Kinh,31,Việt Nam,XW26e1,TI,3,CX0251,1415619,address,1234678645,email81,1,K1
A22678,Trần Huyền Trang,2018-09-23,0,Kinh,1,Việt Nam,NJ26d1,TI,4,TN0351,229502,address,1234678645,email82,1,K1
A22685,Dương Linh Hương,2018-11-17,0,Kinh,1,Việt Nam,QF26d1,TI,3,QL12260,1415620,address,1234678645,email83,1,K1
A22718,Nguyễn Thị Bích Hồng,2018-05-31,0,Kinh,1,Việt Nam,QE26e1,TI,3,QL12261,1415621,address,1234678645,email84,1,K1
A22724,Vũ Đức Chinh,2018-12-31,1,Kinh,1,Việt Nam,TI26e1,TI,3,TT1326,1415622,address,1234678645,email85,1,K1
A22740,Nguyễn Thụy Thúy Vy,2018-03-16,0,Kinh,79,Việt Nam,NJ26d1,TI,3,TN0345,229503,address,1234678645,email86,1,K1
A22765,Đặng Hồng Nhung,2018-03-16,0,Kinh,1,Việt Nam,QA26e1,TI,4,QL12283,1415623,address,1234678645,email87,1,K1
A22793,Bạch Văn Hưng,2018-11-21,1,Kinh,1,Việt Nam,TC26d1,TI,4,TT1331,1415624,address,1234678645,email88,1,K1
A22806,Nguyễn Yến Ly,2018-05-09,0,Kinh,1,Việt Nam,QA26b1,TI,3,QL12268,1415625,address,1234678645,email89,1,K1
A22808,Trần Chí Thành,2018-09-04,1,Kinh,1,Việt Nam,NE26a2,TI,3,TA1184,229504,address,1234678645,email90,1,K1
A22825,Đỗ Linh Ngọc,2018-12-30,0,Kinh,1,Việt Nam,QF26e2,TI,4,QL12305,1415626,address,1234678645,email91,1,K1
A22828,Lê Hà Vân,2018-12-08,0,Kinh,1,Việt Nam,NE26a2,TI,3,TA1188,229505,address,1234678645,email92,1,K1
A22831,Phí Hoàng Long,2018-03-29,1,Kinh,35,Việt Nam,SP26g1,TI,3,SP0156,1415627,address,1234678645,email93,1,K1
A22845,Nguyễn Hương Ly,2018-11-07,0,Kinh,1,Việt Nam,QF26d1,TI,3,QL12269,1415628,address,1234678645,email94,1,K1
A22865,Trần Hùng Anh,2018-01-25,1,Kinh,1,Việt Nam,NJ26b1,TI,2,TN0344,229506,address,1234678645,email95,1,K1
A22883,Nguyễn Đức Anh,2018-07-17,1,Kinh,1,Việt Nam,QF26g3,TI,3,QL12242,1415629,address,1234678645,email96,1,K1
A22899,Dương Thị Thu Uyên,2018-01-08,0,Kinh,1,Việt Nam,SN26g1,TI,3,SN0363,1415630,address,1234678645,email97,1,K1
A22900,Đinh Thị Hồng Hạnh,2018-07-12,0,Kinh,1,Việt Nam,XV26d1,TI,3,XV0125,1415631,address,1234678645,email98,1,K1
A22923,Phạm Thị Hồng Hạnh,2018-06-12,0,Kinh,22,Việt Nam,NJ26d2,TI,2,TN0343,229507,address,1234678645,email99,1,K1
A22940,Nguyễn Thị Phương,2018-09-05,0,Kinh,33,Việt Nam,QF26g1,TI,3,QL12270,1415632,address,1234678645,email100,1,K1
A22954,Vũ Thị Minh 46,2018-06-02,0,Kinh,8,Việt Nam,SN26g1,TI,3,SN0368,1415633,address,1234678645,email101,1,K1
A23002,Nguyễn Lan Chi,2018-12-25,0,Kinh,1,Việt Nam,QF26d1,TI,4,QL12277,1415634,address,1234678645,email102,1,K1
A23040,Đỗ Hiền Phương,2018-05-15,0,Kinh,98,Việt Nam,NE26a3,TI,4,TA1193,229508,address,1234678645,email103,1,K1
A23046,Phạm Thu Thảo,2018-04-20,0,Kinh,1,Việt Nam,NJ26d3,TI,3,TN0350,229509,address,1234678645,email104,1,K1
A23071,Nguyễn Hương Giang,2018-07-24,0,Kinh,1,Việt Nam,QM26d1,TI,4,QL12278,1415635,address,1234678645,email105,1,K1
A23080,Thái Thị Minh Thúy,2018-01-03,0,Kinh,40,Việt Nam,NE26a3,TI,3,TA1189,229510,address,1234678645,email106,1,K1
A23133,Phạm Minh Kiều,2018-11-06,0,Kinh,1,Việt Nam,QF26d1,TI,3,QL12271,1415636,address,1234678645,email107,1,K1
A23252,Trần Thị Thư,2018-07-10,0,Kinh,1,Việt Nam,NE26a4,TI,3,TA1181,229511,address,1234678645,email108,1,K1
A23316,Đỗ Thu Hằng,2018-12-27,0,Kinh,2,Việt Nam,QA26d2,TI,3,QL12272,1415637,address,1234678645,email109,1,K1
A23324,Phạm Thị Thu Thanh,2018-08-28,0,Kinh,35,Việt Nam,SN26g1,TI,4,SN0369,1415638,address,1234678645,email110,1,K1
A23328,Nguyễn Ngọc Quỳnh,2018-08-06,0,Kinh,38,Việt Nam,SN26g2,TI,3,SN0365,1415639,address,1234678645,email111,1,K1
A23341,Nguyễn Thị Huyền Trang,2018-09-12,0,Kinh,25,Việt Nam,NE26a4,TI,2,TA1176,229512,address,1234678645,email112,1,K1
A23368,Trần Ngọc Trung,2018-01-08,1,Kinh,1,Việt Nam,QB26e1,TI,4,QL12297,1415640,address,1234678645,email113,1,K1
A23423,Phan Thị Lan Anh,2018-05-27,0,Kinh,33,Việt Nam,SN26g2,TI,3,SN0362,1415641,address,1234678645,email114,1,K1
A23435,Đặng Thị Dung,2018-12-27,0,Kinh,24,Việt Nam,SN26g2,TI,4,SN0370,1415642,address,1234678645,email115,1,K1
A23489,Phạm Thị Vân,2018-01-12,0,Kinh,1,Việt Nam,NE26a4,TI,3,TA1185,229513,address,1234678645,email116,1,K1
A23499,Trần Hồng Ngọc,2018-02-27,0,Kinh,1,Việt Nam,QA26d2,TI,3,QL12243,1415643,address,1234678645,email117,1,K1
A23520,Lê Hương Giang,2018-05-05,0,Kinh,1,Việt Nam,QA26c1,TI,4,QL12279,1415644,address,1234678645,email118,1,K1
A23540,Phạm Mai Hải Yến,2018-03-23,0,Kinh,1,Việt Nam,NZ26e1,TI,4,NZ0123,229214,address,1234678645,email119,1,K1
A23575,Trần Quang Dũng,2018-03-26,1,Kinh,1,Việt Nam,QA26e3,TI,4,QL12286,1415645,address,1234678645,email120,1,K1
A23612,Lương Minh Tuấn,2018-02-04,1,Kinh,34,Việt Nam,TI26e1,TI,3,TT1327,1415646,address,1234678645,email121,1,K1
A23643,Nguyễn Thị Thu Phương,2018-02-09,0,Knh,24,Việt Nam,QA26g3,TI,3,QL12249,1415647,address,1234678645,email122,1,K1
A23660,Nguyễn Hồng Vân,2018-08-27,0,Kinh,1,Việt Nam,QE26d2,TI,3,QL12237,1415648,address,1234678645,email123,1,K1
A23721,Nguyễn Duy Thùy,2018-02-15,1,Kinh,11,Việt Nam,SN26g2,TI,3,SN0364,1415649,address,1234678645,email124,1,K1
A23729,Vũ Thảo Phương,2018-07-31,0,Kinh,1,Việt Nam,NE26a5,TI,4,TA1194,229215,address,1234678645,email125,1,K1
A23734,Nguyễn Đức Huy,2018-12-05,1,Kinh,1,Việt Nam,QA26g4,TI,4,QL12287,1415650,address,1234678645,email126,1,K1
A23742,Đoàn Mạnh Cường,2018-12-22,1,Kinh,33,Việt Nam,QE26g4,TI,4,QL12288,1415651,address,1234678645,email127,1,K1
A23780,Hồ Anh Tú,2018-12-13,1,Kinh,1,Việt Nam,QF26e1,TI,3,QL12250,1415652,address,1234678645,email128,1,K1
A23817,Nguyễn Xuân Chung,2018-05-31,1,Kinh,35,Việt Nam,SN26g2,TI,3,SN0366,1415653,address,1234678645,email129,1,K1
A23850,Nguyễn Ngọc Chi,2018-07-16,0,Kinh,1,Việt Nam,NE26a5,TI,3,TA1182,229216,address,1234678645,email130,1,K1
A23910,Trần Thanh Hiền,2018-02-27,0,Kinh,1,Việt Nam,QA26d3,TI,4,QL12306,1415654,address,1234678645,email131,1,K1
A23923,Ngô Minh Đức,2018-02-05,1,Kinh,37,Việt Nam,QA26d3,TI,4,QL12298,1415655,address,1234678645,email132,1,K1
A23924,Nguyễn Hồng Quân,2018-09-23,1,Kinh,30,Việt Nam,SN26g3,TI,3,SN0367,1415656,address,1234678645,email133,1,K1
A23950,Lương Duy Anh,2018-06-10,1,Kinh,1,Việt Nam,QF26g2,TI,4,QL12299,1415657,address,1234678645,email134,1,K1
A23954,Phạm Thị Ngọc Anh,2018-05-03,0,Kinh,24,Việt Nam,XW26e1,TI,3,CX0249,1415658,address,1234678645,email135,1,K1
A23973,Thân Thương Huyền,2018-12-28,0,Kinh,1,Việt Nam,SN26d1,TI,4,SN0371,1415659,address,1234678645,email136,1,K1
A23985,Đỗ Văn Quang,2018-02-20,1,Kinh,1,Việt Nam,TC26d1,TI,3,TT1328,1415660,address,1234678645,email137,1,K1
A24006,Nguyễn Đức Trung,2018-03-12,1,Kinh,1,Việt Nam,SN26g3,TI,4,SN0372,1415661,address,1234678645,email138,1,K1
A24014,Hà Phan Anh,2018-11-03,1,Kinh,1,Việt Nam,NE26a6,TI,4,TA1197,229217,address,1234678645,email139,1,K1
A24021,Đặng Đình Phong,2018-05-19,1,Kinh,30,Việt Nam,QM26e1,TI,4,QL12273,1415662,address,1234678645,email140,1,K1
A24049,Dương Tuấn Anh,2018-05-24,1,Kinh,68,Việt Nam,NE26a6,TI,3,TA1178,229218,address,1234678645,email141,1,K1
A24095,Vũ Quang Huy,2018-11-03,1,Kinh,1,Việt Nam,QE26d2,TI,3,QL12251,1415663,address,1234678645,email142,1,K1
A24096,Hoàng Tiến Mạnh,2018-02-17,1,Kinh,1,Việt Nam,QH26d1,TI,4,QL12293,1415664,address,1234678645,email143,1,K1
A24104,Ngô Thu Trang,2018-09-22,0,Kinh,1,Việt Nam,QA26d3,TI,4,QL12274,1415665,address,1234678645,email144,1,K1
A24122,Nguyễn Thị Thúy Hằng,2018-11-21,0,Kinh,1,Việt Nam,NJ26e2,TI,3,TN0346,229219,address,1234678645,email145,1,K1
A24139,La Minh Đức,2018-05-26,1,Kinh,1,Việt Nam,NJ26a1,TI,2,TN0342,229220,address,1234678645,email146,1,K1
A24142,Lê Trường Giang,2018-03-27,1,Kinh,34,Việt Nam,SP26g1,TI,3,SP0157,1415666,address,1234678645,email147,1,K1
A24281,Phạm Thị ánh Hằng,2018-10-22,0,Kinh,1,Việt Nam,SP26g1,TI,3,SP0155,1415689,address,1234678645,email148,1,K1
A24283,Nguyễn Tuấn Anh,2018-12-25,1,Kinh,1,Việt Nam,XW26a1,TI,3,CX0250,1415667,address,1234678645,email149,1,K1
A24307,Nguyễn Tất Lộc,2018-04-19,1,Kinh,35,Việt Nam,QH27g1,TI,3,QL12244,1415668,address,1234678645,email150,1,K1
A24408,Hoàng Minh Trang,2018-02-03,0,Kinh,1,Việt Nam,NE27a1,TI,1,TA1173,229221,address,1234678645,email151,1,K1
A24468,Nguyễn Thu Hằng,2018-08-12,0,Kinh,27,Việt Nam,QA27g1,TI,3,QL12254,1415669,address,1234678645,email152,1,K1
A24491,Trương Minh Ngọc,2018-12-24,0,Kinh,1,Việt Nam,NE27a3,TI,1,TA1172,229222,address,1234678645,email153,1,K1
A24531,Nguyễn Hồng Ngọc,2018-03-30,0,Kinh,1,Việt Nam,NE27a1,TI,3,TA1179,229223,address,1234678645,email154,1,K1
A24639,Nguyễn Trà My,2018-05-10,0,Kinh,1,Việt Nam,QA27c1,TI,3,QL12231,1415670,address,1234678645,email155,1,K1
A24772,Lê Hà Phương,2018-08-05,0,Kinh,1,Việt Nam,NJ27c2,TI,1,TN0341,229224,address,1234678645,email156,1,K1
A24802,Trần Phương Thu,2018-07-26,0,Kinh,47,Việt Nam,QF27g1,TI,3,QL12238,1415671,address,1234678645,email157,1,K1
A24840,Nguyễn Trung Kiên,2018-09-05,1,Kinh,38,Việt Nam,QA27d1,TI,3,QL12239,1415672,address,1234678645,email158,1,K1
A24926,Trần Tú Anh,2018-12-09,0,Kinh,1,Việt Nam,QA27c1,TI,1,QL12226,1415673,address,1234678645,email159,1,K1
A24992,Lê Thị Thu Trang,2018-10-08,0,Kinh,1,Việt Nam,QA27e1,TI,3,QL12234,1415674,address,1234678645,email160,1,K1
A24995,Trần Thị Thanh,2018-10-16,0,Kinh,1,Việt Nam,QM27c1,TI,1,QL12225,1415675,address,1234678645,email161,1,K1
A25018,Bùi Huy Hoàng,2018-07-21,1,Kinh,1,Việt Nam,QM27e1,TI,2,QL12227,1415676,address,1234678645,email162,1,K1
A25034,Nguyễn Diệp Anh,2018-08-01,0,Kinh,1,Việt Nam,QM27e1,TI,3,QL12262,1415677,address,1234678645,email163,1,K1
A25092,Nguyễn Thị Tuyết,2018-01-16,0,Kinh,1,Việt Nam,QA27g2,TI,3,QL12230,1415678,address,1234678645,email164,1,K1
A25202,Trần Thị Lan Hương,2018-12-14,0,Kinh,1,Việt Nam,NJ27b2,TI,1,TN0340,229225,address,1234678645,email165,1,K1
A25376,Trần Thị Hương Mai,2018-12-23,0,Kinh,1,Việt Nam,QE27e2,TI,3,QL12252,1415679,address,1234678645,email166,1,K1
A25406,Nguyễn Hồng Hạnh,2018-03-04,0,Kinh,1,Việt Nam,QM27d1,TI,2,QL12228,1415680,address,1234678645,email167,1,K1
A25408,Nguyễn Linh Trang,2018-06-09,0,Kinh,1,Việt Nam,QA27d1,TI,2,QL12229,1415681,address,1234678645,email168,1,K1
A25435,Phạm Thị Linh Chi,2018-03-03,0,Kinh,1,Việt Nam,QM27g1,TI,3,QL12240,1415682,address,1234678645,email169,1,K1
A25762,Trần Hải Đăng,2018-06-25,1,Kinh,36,Việt Nam,QM27g1,TI,3,QL12263,1415683,address,1234678645,email170,1,K1
A25803,Ngô Hoàng Tùng,2018-10-26,1,Kinh,1,Việt Nam,QE27g3,TI,3,QL12255,1415684,address,1234678645,email171,1,K1
A25874,Nguyễn Thu Hương,2018-10-26,0,Kinh,22,Việt Nam,QA27d1,TI,3,QL12232,1415685,address,1234678645,email172,1,K1
A25913,Phan Thị Hoa,2018-06-05,0,Kinh,40,Việt Nam,QE27g4,TI,4,QL12285,1415686,address,1234678645,email173,1,K1
A25955,Vũ Thị Minh Thúy,2018-07-31,0,Kinh,Phú Yên,Việt Nam,QA27c1,TI,3,QL12235,1415687,address,1234678645,email174,1,K1
A26167,Nguyễn Đại Dương,2018-08-09,1,Kinh,1,Việt Nam,TI27g1,TI,3,TT1324,1415688,address,1234678645,email175,1,K1
A26174,Nguyễn Thị Loan,2018-10-17,0,Kinh,22,Việt Nam,NE27a6,TI,4,TA1190,229226,address,1234678645,email176,1,K1
